01,01,シミュレーション科学研究室,生野
02,01,システムアーキテクチャ研究室,石畑
03,01,マルチメディアWebとコラボレーション研究室,市村
04,01,ホームユビキタス研究室,伊藤
05,01,ヒューマンインタフェース研究室,井上
06,01,感性・言語コンピューティング研究室,岩下
07,01,ブロードバンドネットワーク研究室,上田
08,01,情報セキュリティ研究室,宇田
09,01,音声＆画像処理研究室,大石
10,01,音声コミュニケーション研究室,大野
11,01,ロボット制御研究室,大山恭弘・三橋
12,01,知能情報処理研究室,長名
13,01,ベンチャービジネス研究室,尾崎
14,01,思考と言語研究室,知的ソフトウェア創成研究室,亀田・渡邊
15,01,ブレインコンピューティング研究室,菊池・荻谷
16,01,インターネットセキュリティとOS研究室,木下
17,01,生体情報工学研究室,黒川
18,01,ゲームと認知科学研究室,グリムベルゲン
19,01,先進メカトロニクス研究室,余
20,01,香りセンシングと表面科学研究室,杉本
21,01,ロボットモーション研究室,関口
22,01,ビジネスシステム研究室,竹田
23,01,オープンソースソフトウェアシステム研究室,田胡・柴田
24,01,微分方程式研究室,千葉康生
25,01,Webとインターネットアプリケーション研究室,坪川
26,01,生活情報と磁気・DNA研究室,鶴岡
27,01,公共情報システムとセキュリティ研究室,手塚
28,01,ヒューマンメカトロニクス研究室,松尾
29,01,CSエンターテイメント研究室,松下
30,01,知性材料工学研究室,三田
31,01,光エレクトロニクス研究室,三田地
32,01,先端技術とマーケティング研究室,目黒
33,01,オペレーションマネジメント研究室,山口
34,01,シミュレーション技術・数値計算手法研究室,山元
35,01,光集積・分子ナノシステム研究室,吉村
36,01,サステイナブルマネジメント研究室,芝池
37,01,複合ナノデバイス研究室,木村
38,01,非線形電子システム研究室,茂庭・加藤
39,01,高分子・光機能材料学研究室,山下・松山
40,01,材料グリーンプロセス研究室,古井
41,01,材料物理化学研究室,高橋
42,01,金属表面化学研究室,西尾
43,01,光機能性錯体化学研究室,森本
